Sim_No.,1:V__TIMP.bsn,2:V__SFTMP.bsn,3:V__SMTMP.bsn,4:V__SMFMN.bsn,5:V__SMFMX.bsn,6:V__SNOCOVMX.bsn,7:V__SURLAG.bsn,8:V__ADJ_PKR.bsn,9:V__EVRCH.bsn,10:V__TRNSRCH.bsn,11:V__GW_DELAY.gw,12:V__GWQMN.gw,13:V__ALPHA_BF.gw,14:V__REVAPMN.gw,15:V__GW_REVAP.gw,16:V__RCHRG_DP.gw,17:V__GW_SPYLD.gw,18:V__LAT_TTIME.hru,19:V__OV_N.hru,20:V__SLSUBBSN.hru,21:R__HRU_SLP.hru,22:V__SLSOIL.hru,23:V__ESCO.hru,24:V__CH_N2.rte,25:V__CH_K2.rte,26:V__ALPHA_BNK.rte,27:R__CH_WDR.rte,28:R__CH_D.rte,29:R__CH_W2.rte,30:R__CH_L2.rte,31:R__CH_S2.rte,32:V__SOL_K(..).sol,33:V__SOL_BD(..).sol,34:V__ELEVB(..).sub,35:R__CH_L1.sub,36:R__CH_S1.sub,37:R__CH_W1.sub,38:V__CH_N1.sub,39:V__CH_K1.sub,40:V__PLAPS.sub,41:V__CN2.mgt,42:V__RAINHHMX(..).wgn,43:V__RAINHHMX(..).wgn,44:V__RAINHHMX(..).wgn,45:V__RAINHHMX(..).wgn,46:V__RAINHHMX(..).wgn,47:V__RAINHHMX(..).wgn,48:V__RAINHHMX(..).wgn,49:V__RAINHHMX(..).wgn,50:V__RAINHHMX(..).wgn,51:V__RAINHHMX(..).wgn,52:V__RAINHHMX(..).wgn,53:V__RAINHHMX(..).wgn,54:V__BIOMIX.mgt,NSE,bR2,D
11,0.9452,0.35125,0.41475,0.57975,0.04375,0.51425,0.163248434,0.538266667,0.6792,0.4132,0.25975,0.13775,0.2237,0.28325,0.927222222,0.6992,0.62475,0.22825,0.285248416,0.46025,0.12974,0.35475,0.3433,0.25516129,0.838250035,0.8518,0.366753507,0.326753507,0.823246493,0.510240481,0.587254509,0.33775,0.79675,0.91025,0.02226,0.04076,0.98176,0.804251417,0.79425,0.63425,0.582749206,0.2697504,0.1427504,0.9297504,0.7747504,0.5977504,0.5742504,0.4242504,0.7942504,0.7422504,0.3332504,0.2487504,0.5207504,0.0897,-0.328406,0.039719507,0.380938424
12,0.5033,0.23925,0.32425,0.29375,0.26075,0.42325,0.030250522,0.027266667,0.8578,0.4473,0.77075,0.19075,0.9682,0.21225,0.863888889,0.1727,0.68625,0.04575,0.134251417,0.80525,0.15876,0.74075,0.1762,0.863870968,0.596750065,0.8048,0.040741483,0.608757515,0.407755511,0.357755511,0.526753507,0.83425,0.79225,0.25325,0.27074,0.51024,0.85524,0.672750917,0.39975,0.12125,0.529750794,0.3392504,0.1857504,0.5417504,0.1487504,0.2402504,0.3512504,0.6037504,0.2597504,0.3287504,0.4637504,0.1322504,0.6147504,0.6902,-0.386908,0.01818858,0.373725893
13,0.7688,0.02825,0.17975,0.15925,0.85175,0.17175,0.034250522,0.307733333,0.0988,0.8702,0.10775,0.38775,0.1762,0.00325,0.966111111,0.3173,0.72225,0.70975,0.371750584,0.60175,0.66776,0.49725,0.9408,0.625806452,0.230249995,0.6923,0.357755511,0.640741483,0.483747495,0.679759519,0.270741483,0.58375,0.73525,0.02525,0.54376,0.29724,0.73324,0.588249416,0.28325,0.77675,0.740750794,0.8272504,0.0982504,0.3962504,0.3707504,0.4087504,0.5092504,0.7242504,0.4957504,0.7027504,0.4982504,0.3017504,0.7272504,0.9758,-0.460818,0.000371529,0.368791806
14,0.5577,0.45975,0.44525,0.43425,0.11625,0.77175,0.083248434,0.005733333,0.8208,0.6338,0.46275,0.50875,0.7467,0.51875,0.911111111,0.0988,0.15925,0.70875,0.51225075,0.22775,0.47276,0.52225,0.7067,0.507096774,0.164750105,0.2453,0.820741483,0.524248497,0.961242485,0.950741483,0.131242485,0.44525,0.73875,0.95475,0.54026,0.17674,0.85026,0.710250083,0.70225,0.92575,0.949750794,0.6607504,0.6362504,0.1642504,0.4952504,0.1897504,0.5622504,0.3617504,0.7912504,0.6622504,0.0132504,0.6097504,0.1947504,0.7527,-0.338296,0.026134496,0.375694989
15,0.1933,0.87775,0.95025,0.43725,0.36825,0.37625,0.803749478,0.590733333,0.7092,0.6672,0.89075,0.61925,0.3013,0.93775,0.958333333,0.3607,0.90775,0.44025,0.060250083,0.83075,0.70374,0.67575,0.4448,0.268709677,0.742249955,0.2968,0.705250501,0.725250501,0.101242485,0.617755511,0.089258517,0.73025,0.38675,0.02775,0.94176,0.08224,0.08524,0.37774925,0.96425,0.43825,0.293749206,0.2467504,0.0242504,0.7252504,0.4647504,0.3162504,0.1082504,0.5777504,0.0762504,0.8192504,0.9497504,0.5817504,0.3632504,0.5997,-0.350003,0.019884451,0.373643839
16,0.8123,0.61175,0.84425,0.04425,0.07275,0.22975,0.352250522,0.535266667,0.5138,0.2128,0.43425,0.25275,0.5297,0.12625,0.223333333,0.5418,0.28425,0.02725,0.96375125,0.28375,0.35674,0.77325,0.0033,0.751290323,0.331249975,0.8522,0.484248497,0.883246493,0.195250501,0.544248497,0.450240481,0.03125,0.40025,0.58575,0.04626,0.74276,0.78924,0.61225075,0.00925,0.81075,0.108250794,0.8632504,0.3447504,0.2467504,0.8662504,0.2372504,0.9547504,0.7247504,0.7802504,0.5327504,0.0622504,0.0742504,0.5527504,0.6637,0.476296,0.420992182,0.772323352
17,0.7977,0.24325,0.35775,0.71975,0.81225,0.94475,0.616250522,0.887733333,0.1068,0.5508,0.10275,0.38325,0.9252,0.86625,0.591111111,0.6643,0.73825,0.38525,0.460250083,0.99625,0.02126,0.85925,0.3288,0.491612903,0.293749925,0.9528,0.353246493,0.614749499,0.900240481,0.710240481,0.130240481,0.26725,0.58325,0.10025,0.08476,0.74626,0.25674,0.914251417,0.44275,0.90675,0.170249206,0.2897504,0.3922504,0.2267504,0.8387504,0.1977504,0.8007504,0.5162504,0.3427504,0.1852504,0.5142504,0.5262504,0.4332504,0.1402,-0.431021,0.005772123,0.370125072
18,0.4182,0.28875,0.60325,0.87975,0.60025,0.20325,0.597749478,0.111733333,0.7452,0.5188,0.31575,0.13375,0.3842,0.57575,0.884444444,0.3853,0.63925,0.54825,0.103251084,0.72325,0.74376,0.66825,0.1128,0.762258065,0.086250075,0.6033,0.464248497,0.870741483,0.888256513,0.971743487,0.854248497,0.52675,0.48175,0.69525,0.28574,0.55326,0.25326,0.972750917,0.66925,0.44325,0.462750794,0.8897504,0.1412504,0.6932504,0.7257504,0.6987504,0.9252504,0.5212504,0.3202504,0.4397504,0.8552504,0.2007504,0.3447504,0.6827,-0.21832,0.045438495,0.374955009
19,0.3088,0.40825,0.42475,0.32225,0.91175,0.90175,0.677749478,0.362733333,0.6878,0.7452,0.00425,0.33725,0.6168,0.47975,0.759444444,0.6367,0.11275,0.33075,0.548749583,0.75175,0.31524,0.34125,0.1163,0.429354839,0.272249955,0.9252,0.510741483,0.486252505,0.432745491,0.179258517,0.189258517,0.60025,0.67875,0.92475,0.56576,0.85076,0.56326,0.868749583,0.79225,0.30875,0.943250794,0.4617504,0.3662504,0.2682504,0.9672504,0.0742504,0.7347504,0.7702504,0.5352504,0.4417504,0.4767504,0.1872504,0.4292504,0.6108,-0.384964,0.019287415,0.375545168
20,0.2598,0.16675,0.78125,0.07625,0.35375,0.95825,0.385248434,0.070266667,0.3622,0.7028,0.82825,0.89575,0.5813,0.09425,0.964444444,0.7763,0.17475,0.20575,0.085748583,0.99875,0.49424,0.57175,0.4972,0.804193548,0.010249995,0.7638,0.094749499,0.227755511,0.217755511,0.657755511,0.094248497,0.37575,0.81125,0.65275,0.96624,0.76876,0.44226,0.671750584,0.32475,0.96275,0.696250794,0.6982504,0.3857504,0.7142504,0.9927504,0.8312504,0.3687504,0.6007504,0.6357504,0.6032504,0.6942504,0.1237504,0.1662504,0.1018,-0.114785,0.162277015,0.510746701
