Sim_No.,1:V__TIMP.bsn,2:V__SFTMP.bsn,3:V__SMTMP.bsn,4:V__SMFMN.bsn,5:V__SMFMX.bsn,6:V__SNOCOVMX.bsn,7:V__SURLAG.bsn,8:V__ADJ_PKR.bsn,9:V__EVRCH.bsn,10:V__TRNSRCH.bsn,11:V__GW_DELAY.gw,12:V__GWQMN.gw,13:V__ALPHA_BF.gw,14:V__REVAPMN.gw,15:V__GW_REVAP.gw,16:V__RCHRG_DP.gw,17:V__GW_SPYLD.gw,18:V__LAT_TTIME.hru,19:V__OV_N.hru,20:V__SLSUBBSN.hru,21:R__HRU_SLP.hru,22:V__SLSOIL.hru,23:V__ESCO.hru,24:V__CH_N2.rte,25:V__CH_K2.rte,26:V__ALPHA_BNK.rte,27:R__CH_WDR.rte,28:R__CH_D.rte,29:R__CH_W2.rte,30:R__CH_L2.rte,31:R__CH_S2.rte,32:V__SOL_K(..).sol,33:V__SOL_BD(..).sol,34:V__ELEVB(..).sub,35:R__CH_L1.sub,36:R__CH_S1.sub,37:R__CH_W1.sub,38:V__CH_N1.sub,39:V__CH_K1.sub,40:V__PLAPS.sub,41:V__CN2.mgt,42:V__RAINHHMX(..).wgn,43:V__RAINHHMX(..).wgn,44:V__RAINHHMX(..).wgn,45:V__RAINHHMX(..).wgn,46:V__RAINHHMX(..).wgn,47:V__RAINHHMX(..).wgn,48:V__RAINHHMX(..).wgn,49:V__RAINHHMX(..).wgn,50:V__RAINHHMX(..).wgn,51:V__RAINHHMX(..).wgn,52:V__RAINHHMX(..).wgn,53:V__RAINHHMX(..).wgn,54:V__BIOMIX.mgt,NSE,bR?,D
11,0.8528,0.08875,0.49275,0.67875,0.47325,0.72125,0.491248434,0.390266667,0.7178,0.5502,0.25625,0.67575,0.3383,0.00925,0.094444444,0.9097,0.33975,0.50125,0.121250417,0.66525,0.01874,0.69875,0.2912,0.381612903,0.458250035,0.5288,0.480741483,0.877755511,0.770240481,0.866252505,0.345250501,0.45025,0.51175,0.93475,0.53826,0.03576,0.55576,0.821250417,0.34125,0.41825,0.473750794,0.3182504,0.7107504,0.0117504,0.0177504,0.1122504,0.5192504,0.1187504,0.6032504,0.7507504,0.5942504,0.1647504,0.8272504,0.3212,-0.430361,0.004091316,0.368751027
12,0.0728,0.36425,0.08475,0.03625,0.37825,0.19475,0.636751566,0.367266667,0.8672,0.7807,0.54675,0.82125,0.3713,0.88775,0.813888889,0.2142,0.49475,0.03925,0.506748916,0.67925,0.23424,0.03475,0.2988,0.056774194,0.873749925,0.6428,0.934749499,0.449759519,0.285751503,0.851242485,0.556753507,0.06025,0.56975,0.74625,0.83626,0.35424,0.81126,0.10774925,0.05875,0.59875,0.495250794,0.0092504,0.6507504,0.2527504,0.5187504,0.0812504,0.9092504,0.4122504,0.9247504,0.5782504,0.6687504,0.7262504,0.2842504,0.2928,-0.42836,0.011483088,0.373437496
13,0.6407,0.77325,0.44325,0.08225,0.91825,0.63425,0.584250522,0.504266667,0.2392,0.5458,0.38025,0.31175,0.3368,0.69425,0.258888889,0.2383,0.56725,0.57925,0.573251084,0.39975,0.97074,0.96475,0.1243,0.012903226,0.603249935,0.9933,0.864749499,0.720240481,0.278256513,0.015751503,0.456252505,0.02725,0.53025,0.24875,0.93776,0.25526,0.93924,0.02624875,0.88225,0.54575,0.731750794,0.6092504,0.2097504,0.3262504,0.5602504,0.4852504,0.9002504,0.3077504,0.7562504,0.0287504,0.2622504,0.7657504,0.2902504,0.4712,-0.271948,0.038173531,0.377510925
14,0.4137,0.47325,0.59525,0.01875,0.87925,0.83925,0.005749478,0.578733333,0.4118,0.6658,0.03025,0.09725,0.1007,0.62125,0.313888889,0.0978,0.69675,0.15925,0.62375125,0.84075,0.02174,0.17875,0.8963,0.859677419,0.485750085,0.4083,0.035250501,0.072745491,0.637755511,0.810741483,0.192244489,0.02925,0.51775,0.32075,0.99924,0.03324,0.95974,0.199749917,0.97125,0.28775,0.496249206,0.8187504,0.5102504,0.7007504,0.5677504,0.5022504,0.5577504,0.2537504,0.5542504,0.1527504,0.2547504,0.0512504,0.3667504,0.5443,-0.39691,0.021305598,0.378303517
15,0.9808,0.73675,0.60075,0.18625,0.40475,0.98125,0.275749478,0.957266667,0.6548,0.3582,0.26075,0.49725,0.6862,0.04875,0.722777778,0.5408,0.65925,0.40425,0.47375125,0.39575,0.05426,0.65425,0.2567,0.238709677,0.594249915,0.7872,0.475751503,0.114248497,0.357755511,0.961242485,0.522244489,0.60925,0.47575,0.37975,0.32376,0.92024,0.68324,0.515248416,0.68025,0.67475,0.199750794,0.8052504,0.6102504,0.9457504,0.6557504,0.7882504,0.3997504,0.3742504,0.2052504,0.0407504,0.2472504,0.8387504,0.5252504,0.5573,-0.26435,0.019728853,0.35716307
16,0.2457,0.84075,0.57475,0.96225,0.25675,0.26175,0.765248434,0.200266667,0.0458,0.8813,0.69975,0.18175,0.9992,0.20575,0.205,0.6582,0.73475,0.76325,0.943251084,0.99125,0.52526,0.77025,0.6168,0.11516129,0.055250095,0.1283,0.004248497,0.804248497,0.183246493,0.120240481,0.056252505,0.25475,0.22225,0.90425,0.50674,0.95374,0.35074,0.612750917,0.07425,0.31925,0.381750794,0.6072504,0.9222504,0.0672504,0.1147504,0.1102504,0.1977504,0.6952504,0.0942504,0.7967504,0.2242504,0.4007504,0.5242504,0.3803,-0.458156,0.000481095,0.36865729
17,0.4978,0.46675,0.88675,0.13475,0.79225,0.10925,0.024250522,0.894733333,0.1982,0.2743,0.39125,0.12925,0.7793,0.95875,0.916111111,0.0878,0.99375,0.22925,0.213251084,0.53625,0.37476,0.76425,0.8443,0.006774194,0.942249955,0.6582,0.412244489,0.085250501,0.326753507,0.899258517,0.593246493,0.07225,0.00025,0.82625,0.08724,0.95524,0.68824,0.26225075,0.48125,0.29725,0.254249206,0.8822504,0.1207504,0.2992504,0.7517504,0.4422504,0.2577504,0.0422504,0.5497504,0.0127504,0.6377504,0.1047504,0.8467504,0.4557,0.20397,0.252883974,0.592369683
18,0.9712,0.94975,0.58525,0.68125,0.83025,0.58125,0.151749478,0.597733333,0.1748,0.7362,0.14125,0.89075,0.7653,0.21175,0.788888889,0.3568,0.98475,0.46825,0.348749583,0.46125,0.03276,0.34825,0.2237,0.977741935,0.145250095,0.8092,0.226252505,0.164749499,0.884248497,0.115250501,0.246252505,0.82225,0.47875,0.20675,0.25974,0.35826,0.67226,0.70375125,0.07775,0.54175,0.750249206,0.7757504,0.5597504,0.1987504,0.2167504,0.4577504,0.6407504,0.1057504,0.9097504,0.1862504,0.0852504,0.2302504,0.0322504,0.0298,-0.429356,0.005196994,0.369534089
19,0.7182,0.09075,0.00125,0.33975,0.83775,0.15225,0.527749478,0.535733333,0.6288,0.3363,0.53775,0.85975,0.9638,0.17775,0.899444444,0.5882,0.06975,0.39125,0.73225075,0.00075,0.89524,0.52875,0.8288,0.393225806,0.887750045,0.8198,0.277755511,0.037755511,0.439759519,0.352745491,0.031242485,0.23775,0.74975,0.69775,0.12774,0.99176,0.25276,0.14225075,0.73925,0.96075,0.019249206,0.9317504,0.9372504,0.5137504,0.1752504,0.7107504,0.6797504,0.6977504,0.7842504,0.7202504,0.5667504,0.7222504,0.3302504,0.9617,0.365359,0.288298057,0.657330374
20,0.1957,0.61125,0.01125,0.11875,0.25025,0.72425,0.829248434,0.089733333,0.5352,0.5792,0.31075,0.27425,0.9128,0.80125,0.497222222,0.7573,0.66525,0.23275,0.374251417,0.50025,0.61276,0.62775,0.4947,0.401290323,0.196250075,0.2118,0.402244489,0.017254509,0.329759519,0.533747495,0.637755511,0.98675,0.11225,0.91975,0.94274,0.48174,0.08724,0.611750584,0.57675,0.60175,0.227750794,0.1697504,0.3712504,0.6297504,0.5337504,0.5427504,0.4797504,0.4682504,0.0092504,0.6582504,0.7952504,0.9997504,0.1997504,0.0672,-0.251981,0.046796371,0.384469072
21,0.3022,0.72225,0.79975,0.54375,0.34075,0.21925,0.938250522,0.980733333,0.4678,0.3792,0.34925,0.55975,0.1222,0.46275,0.55,0.4577,0.20525,0.64325,0.77375125,0.26825,0.12774,0.90675,0.4218,0.00483871,0.848250035,0.8158,0.950741483,0.737755511,0.079258517,0.381242485,0.165751503,0.88025,0.02725,0.20025,0.86526,0.03724,0.29624,0.745748583,0.03175,0.57775,0.945750794,0.2657504,0.3832504,0.9797504,0.3627504,0.3852504,0.9942504,0.5657504,0.3822504,0.7732504,0.1622504,0.5652504,0.1252504,0.7268,0.484113,0.393614797,0.759156231
22,0.9513,0.19775,0.54725,0.17425,0.29575,0.33375,0.090250522,0.874733333,0.7702,0.0793,0.69075,0.82025,0.7648,0.94725,0.985555556,0.6758,0.24425,0.57375,0.67774925,0.26175,0.56576,0.97325,0.8008,0.632258065,0.963249935,0.5617,0.682745491,0.647254509,0.884749499,0.725751503,0.810240481,0.81925,0.56325,0.07025,0.47624,0.11926,0.46876,0.594251417,0.05175,0.67825,0.160750794,0.7152504,0.9337504,0.6917504,0.8372504,0.8592504,0.5152504,0.4077504,0.3112504,0.2582504,0.7907504,0.0597504,0.4692504,0.8117,-16.775499,0.048210368,0.31548415
23,0.0768,0.92025,0.15175,0.41175,0.92625,0.68725,0.453749478,0.933733333,0.3452,0.4238,0.43325,0.85825,0.3512,0.39825,0.365555556,0.5853,0.12975,0.12125,0.611250417,0.29525,0.00924,0.51225,0.4963,0.283870968,0.891249975,0.3772,0.337755511,0.825751503,0.249759519,0.287254509,0.728757515,0.84125,0.21375,0.25625,0.80174,0.74224,0.92776,0.848249416,0.78125,0.60775,0.714750794,0.9162504,0.2822504,0.9757504,0.3917504,0.2637504,0.4547504,0.1982504,0.7547504,0.1217504,0.7727504,0.8842504,0.0202504,0.1093,-0.180232,0.044040485,0.364840442
24,0.1462,0.49875,0.52475,0.19125,0.82775,0.47125,0.402751566,0.559266667,0.6362,0.1682,0.76075,0.43025,0.3277,0.27725,0.098888889,0.7918,0.72075,0.87625,0.43075025,0.94625,0.10326,0.30325,0.5443,0.61516129,0.173749925,0.2333,0.902244489,0.249258517,0.856252505,0.777254509,0.232745491,0.21175,0.68575,0.72025,0.57576,0.27224,0.69426,0.153251084,0.96825,0.98325,0.051750794,0.7282504,0.3742504,0.2577504,0.9372504,0.7297504,0.0077504,0.5947504,0.2532504,0.1122504,0.0962504,0.9507504,0.1297504,0.6768,-0.13876,0.000124402,0.28121007
25,0.1912,0.01925,0.15825,0.39325,0.01975,0.66625,0.676751566,0.170733333,0.7538,0.7577,0.97075,0.56125,0.4717,0.54175,0.674444444,0.6858,0.30725,0.04175,0.158749583,0.93725,0.89176,0.79425,0.9007,0.745806452,0.575250095,0.0122,0.041743487,0.568256513,0.446252505,0.404749499,0.907755511,0.04875,0.98275,0.68475,0.28826,0.42224,0.94876,0.824751584,0.24725,0.28725,0.619750794,0.9747504,0.9322504,0.2487504,0.3547504,0.8532504,0.0972504,0.1352504,0.9842504,0.1367504,0.9812504,0.1547504,0.7132504,0.9003,-0.449691,0.00066624,0.367039998
26,0.7107,0.66975,0.32575,0.08675,0.67375,0.08825,0.657749478,0.448733333,0.8052,0.8572,0.85875,0.25825,0.6373,0.74875,0.409444444,0.0892,0.27725,0.26975,0.160250083,0.26075,0.62574,0.58375,0.4317,0.678709677,0.767250055,0.3688,0.115250501,0.723747495,0.024749499,0.781743487,0.288256513,0.25875,0.72925,0.48925,0.00074,0.75326,0.98674,0.220250083,0.64075,0.58125,0.642250794,0.3002504,0.8987504,0.7702504,0.9367504,0.5847504,0.0322504,0.8922504,0.8547504,0.6737504,0.3502504,0.9947504,0.0487504,0.1937,-0.447453,0.003304846,0.369844495
