Sim_No.,1:V__TIMP.bsn,2:V__SFTMP.bsn,3:V__SMTMP.bsn,4:V__SMFMN.bsn,5:V__SMFMX.bsn,6:V__SNOCOVMX.bsn,7:V__SURLAG.bsn,8:V__ADJ_PKR.bsn,9:V__EVRCH.bsn,10:V__TRNSRCH.bsn,11:V__GW_DELAY.gw,12:V__GWQMN.gw,13:V__ALPHA_BF.gw,14:V__REVAPMN.gw,15:V__GW_REVAP.gw,16:V__RCHRG_DP.gw,17:V__GW_SPYLD.gw,18:V__LAT_TTIME.hru,19:V__OV_N.hru,20:V__SLSUBBSN.hru,21:R__HRU_SLP.hru,22:V__SLSOIL.hru,23:V__ESCO.hru,24:V__CH_N2.rte,25:V__CH_K2.rte,26:V__ALPHA_BNK.rte,27:R__CH_WDR.rte,28:R__CH_D.rte,29:R__CH_W2.rte,30:R__CH_L2.rte,31:R__CH_S2.rte,32:V__SOL_K(..).sol,33:V__SOL_BD(..).sol,34:V__ELEVB(..).sub,35:R__CH_L1.sub,36:R__CH_S1.sub,37:R__CH_W1.sub,38:V__CH_N1.sub,39:V__CH_K1.sub,40:V__PLAPS.sub,41:V__CN2.mgt,42:V__RAINHHMX(..).wgn,43:V__RAINHHMX(..).wgn,44:V__RAINHHMX(..).wgn,45:V__RAINHHMX(..).wgn,46:V__RAINHHMX(..).wgn,47:V__RAINHHMX(..).wgn,48:V__RAINHHMX(..).wgn,49:V__RAINHHMX(..).wgn,50:V__RAINHHMX(..).wgn,51:V__RAINHHMX(..).wgn,52:V__RAINHHMX(..).wgn,53:V__RAINHHMX(..).wgn,54:V__BIOMIX.mgt,NSE,bR?,D
5272,0.9273,0.1377075,0.377835,0.297735,0.73417,0.1446296,0.087524008,0.452733333,0.9206,0.1885,0.8164918,0.79793716,0.5405,0.1593516,0.876111111,0.1576,0.26225,0.263685,0.856302101,0.869181429,0.2046,0.871183333,0.5626,0.866774194,0.57152157,0.8921,0.283066132,0.602885772,0.415931864,0.833667335,0.52252505,0.1831067,0.3358125,0.481901213,0.49914,0.63222,0.52352,0.512690897,0.065237,0.17618945,0.786714286,0.1415656,0.2038008,0.3217728,0.5307592,0.127712,0.5511488,0.197992,0.432036,0.3210232,0.6510176,0.4217568,0.2583968,0.7015,0.664886125,0.631322793,0.885928724
5273,0.9238,0.2213625,0.3130375,0.286855,0.674715,0.2651354,0.225323591,0.334733333,0.942,0.2362,0.5892426,0.8799001,0.4464,0.1676712,0.847222222,0.1349,0.30025,0.247289444,0.763124375,0.871990714,0.38962,0.927566667,0.7797,0.927419355,0.623651727,0.9361,0.419398798,0.57248497,0.511803607,0.767134269,0.497735471,0.1599834,0.3491875,0.50691705,0.45164,0.71904,0.4853,0.665598533,0.147313333,0.1498597,0.849644444,0.2531496,0.125416,0.4590384,0.5784576,0.288812,0.4437808,0.1369752,0.416796,0.4751608,0.8569432,0.5677512,0.3544136,0.6248,0.769182135,0.745651709,0.929007861
5274,0.8518,0.11162,0.301305,0.230115,0.88036,0.1580954,0.217068894,0.266733333,0.8638,0.2284,0.632789,0.72064888,0.4985,0.1573166,0.893333333,0.2005,0.276,0.203293333,0.836928976,0.879068571,0.3771,0.822107333,0.412,0.843548387,0.507667647,0.9051,0.316452906,0.487835671,0.475270541,0.810601202,0.502705411,0.1111676,0.336375,0.602105963,0.6675,0.69554,0.61386,0.658936312,0.001428667,0.21126265,0.858488889,0.1913952,0.1404352,0.515864,0.7345136,0.2124536,0.3083504,0.1331152,0.463868,0.4942944,0.711688,0.368532,0.2293576,0.8625,0.757041078,0.702839034,0.933593032
5275,0.9176,0.1298725,0.3924725,0.22163,0.69206,0.1840654,0.127615866,0.236466667,0.9452,0.2338,0.7390598,0.76147452,0.4621,0.1188916,0.83,0.1967,0.24275,0.193417778,0.881293765,0.888685714,0.25148,0.911160667,0.5604,0.845483871,0.628773625,0.985,0.295731463,0.501643287,0.575490982,0.688797595,0.412284569,0.19263435,0.28175,0.646435488,0.49502,0.79412,0.53898,0.4924008,0.120993333,0.1730597,0.859515873,0.364592,0.4397776,0.3599024,0.6940744,0.1634672,0.4368,0.2097752,0.4385672,0.4312744,0.7243832,0.327992,0.2139016,0.7662,0.73048333,0.679145424,0.911190944
5276,0.8921,0.15271,0.297645,0.242845,0.91268,0.20131,0.12714405,0.481466667,0.8168,0.1605,0.756363,0.78173154,0.475,0.06682,0.827222222,0.1816,0.26775,0.172210556,0.756752251,0.907379286,0.38344,0.876126667,0.5838,0.93,0.638790024,0.9507,0.46246493,0.561583166,0.601142285,0.816973948,0.476673347,0.1320428,0.3480625,0.658023688,0.56296,0.75358,0.45204,0.587302434,0.107400667,0.13013725,0.850671429,0.283672,0.2897976,0.5287784,0.5947888,0.2552784,0.3963104,0.1302032,0.4456248,0.3687896,0.6514608,0.4323272,0.1931056,0.8894,0.36562223,0.487676801,0.890466358
5277,0.8232,0.148645,0.3230475,0.246335,0.96265,0.1905922,0.083202505,0.1838,0.7806,0.2528,0.5759768,0.8830166,0.4695,0.0778328,0.835,0.1781,0.329,0.236781111,0.774698233,0.891765,0.36488,0.807922,0.5634,0.882580645,0.490139197,0.9848,0.373446894,0.588336673,0.678917836,0.800260521,0.488076152,0.24980025,0.3039375,0.570192388,0.65822,0.68426,0.53164,0.649406469,0.07199,0.1543308,0.841714286,0.2505944,0.31284,0.5127888,0.5701616,0.2802264,0.4239552,0.1529576,0.4956248,0.502456,0.7329448,0.4303368,0.2642984,0.8144,0.738680298,0.650547482,0.909713952
5278,0.9051,0.0959525,0.36212,0.19795,0.68302,0.2576466,0.175799582,0.1788,0.8032,0.1687,0.7666008,0.84935878,0.5277,0.0902822,0.881111111,0.208,0.26975,0.228045,0.763294431,0.921805,0.19378,0.833570667,0.62,0.871935484,0.631619168,0.8867,0.335711423,0.575250501,0.489338677,0.773727455,0.466513026,0.3020417,0.3940625,0.56421435,0.5396,0.68256,0.5776,0.67318106,0.058051,0.1281501,0.848731746,0.110476,0.2556456,0.3393616,0.5879192,0.2514408,0.31952,0.1560728,0.5237784,0.326108,0.9120048,0.3488832,0.1974144,0.8508,0.685716395,0.62537966,0.909976649
5279,0.9039,0.1247,0.3038875,0.31512,0.737285,0.1851646,0.192622129,0.255133333,0.8784,0.2173,0.5875122,0.84364522,0.4686,0.0778926,0.856111111,0.1462,0.1965,0.199811667,0.80765922,0.965892857,0.31892,0.941537333,0.6857,0.903870968,0.612611148,0.9736,0.34997996,0.494168337,0.394148297,0.823867735,0.393547094,0.12968765,0.3305625,0.647815,0.5859,0.78138,0.46304,0.601547182,0.009999667,0.14812095,0.878685714,0.3197312,0.4200272,0.3913896,0.6487088,0.2017472,0.5285304,0.1664336,0.465144,0.4517456,0.664008,0.4436432,0.330152,0.8599,0.646369365,0.551141277,0.922861124
5280,0.9311,0.1370425,0.3934425,0.21595,0.886885,0.2449366,0.091849687,0.267666667,0.7874,0.2538,0.5645854,0.75160572,0.502,0.145406,0.870555556,0.2246,0.308,0.24577,0.75582861,0.897492143,0.13608,0.866454667,0.7662,0.85516129,0.550464591,0.8902,0.424348697,0.564749499,0.590921844,0.808917836,0.461342685,0.25311885,0.3641875,0.520896488,0.46556,0.64116,0.37138,0.640490163,0.138309,0.16173295,0.813814286,0.1381584,0.1221248,0.453012,0.63808,0.1880112,0.3683864,0.1547184,0.4133424,0.5276104,0.8024728,0.5254704,0.2372264,0.797,0.456397761,0.408265091,0.759866183
5281,0.9336,0.20407,0.265355,0.25722,0.8725,0.230028,0.214162839,0.203466667,0.856,0.2592,0.7889508,0.78526352,0.46,0.1014146,0.834444444,0.1809,0.28125,0.213801667,0.886408803,0.923804286,0.17336,0.811217333,0.4547,0.88,0.690806384,0.9279,0.495250501,0.53252505,0.619579158,0.773346693,0.431583166,0.134505,0.34375,0.53726715,0.59202,0.55958,0.55966,0.614048016,0.130603667,0.1900001,0.881480952,0.1356032,0.387316,0.4835152,0.7205152,0.1992224,0.4722632,0.1680592,0.522352,0.401972,0.8932568,0.5545696,0.2253296,0.6827,0.495553388,0.436591468,0.782590569
