Sim_No.,1:V__TIMP.bsn,2:V__SFTMP.bsn,3:V__SMTMP.bsn,4:V__SMFMN.bsn,5:V__SMFMX.bsn,6:V__SNOCOVMX.bsn,7:V__SURLAG.bsn,8:V__ADJ_PKR.bsn,9:V__EVRCH.bsn,10:V__TRNSRCH.bsn,11:V__GW_DELAY.gw,12:V__GWQMN.gw,13:V__ALPHA_BF.gw,14:V__REVAPMN.gw,15:V__GW_REVAP.gw,16:V__RCHRG_DP.gw,17:V__GW_SPYLD.gw,18:V__LAT_TTIME.hru,19:V__OV_N.hru,20:V__SLSUBBSN.hru,21:R__HRU_SLP.hru,22:V__SLSOIL.hru,23:V__ESCO.hru,24:V__CH_N2.rte,25:V__CH_K2.rte,26:V__ALPHA_BNK.rte,27:R__CH_WDR.rte,28:R__CH_D.rte,29:R__CH_W2.rte,30:R__CH_L2.rte,31:R__CH_S2.rte,32:V__SOL_K(..).sol,33:V__SOL_BD(..).sol,34:V__ELEVB(..).sub,35:R__CH_L1.sub,36:R__CH_S1.sub,37:R__CH_W1.sub,38:V__CH_N1.sub,39:V__CH_K1.sub,40:V__PLAPS.sub,41:V__CN2.mgt,42:V__RAINHHMX(..).wgn,43:V__RAINHHMX(..).wgn,44:V__RAINHHMX(..).wgn,45:V__RAINHHMX(..).wgn,46:V__RAINHHMX(..).wgn,47:V__RAINHHMX(..).wgn,48:V__RAINHHMX(..).wgn,49:V__RAINHHMX(..).wgn,50:V__RAINHHMX(..).wgn,51:V__RAINHHMX(..).wgn,52:V__RAINHHMX(..).wgn,53:V__RAINHHMX(..).wgn,54:V__BIOMIX.mgt,NSE,bR?,D
1688,0.1423,0.93325,0.90525,0.72375,0.80075,0.06375,0.078751566,0.826266667,0.7212,0.1417,0.23075,0.85225,0.7278,0.89425,0.764444444,0.9402,0.39275,0.03675,0.045748583,0.63625,0.07474,0.90825,0.4658,0.738709677,0.059750005,0.1567,0.464749499,0.495250501,0.419258517,0.134749499,0.375250501,0.91775,0.65425,0.54875,0.55874,0.44676,0.32376,0.41225075,0.84175,0.55875,0.339750794,0.3247504,0.0972504,0.3582504,0.0122504,0.8257504,0.3647504,0.9357504,0.1802504,0.9337504,0.5862504,0.2422504,0.6897504,0.5663,-0.813824,0.000218393,0.337267738
1689,0.2738,0.19075,0.35425,0.58775,0.23525,0.58275,0.304751566,0.999733333,0.9132,0.8648,0.30425,0.86425,0.1758,0.83375,0.842222222,0.0188,0.30525,0.42175,0.47075025,0.50475,0.38876,0.25075,0.4793,0.397096774,0.014249915,0.6403,0.715250501,0.705751503,0.288757515,0.436252505,0.991242485,0.91175,0.28525,0.18975,0.85774,0.54026,0.25874,0.579749917,0.24525,0.66475,0.843750794,0.9792504,0.3252504,0.8747504,0.2412504,0.9502504,0.2552504,0.4707504,0.5437504,0.2242504,0.8432504,0.9637504,0.1367504,0.7333,-0.184414,0.128805313,0.582481792
1690,0.0172,0.89725,0.78075,0.66025,0.48025,0.91275,0.845749478,0.015266667,0.0232,0.8273,0.60475,0.99675,0.3787,0.29225,0.071111111,0.6798,0.08125,0.55075,0.565248416,0.96025,0.81676,0.43275,0.5368,0.846774194,0.978750025,0.6808,0.513246493,0.372244489,0.690240481,0.659759519,0.215250501,0.11375,0.08625,0.69475,0.74176,0.25624,0.88724,0.545748583,0.08775,0.00475,0.520249206,0.3457504,0.5052504,0.5217504,0.7662504,0.1712504,0.1172504,0.2887504,0.6452504,0.5422504,0.7407504,0.8677504,0.2807504,0.3932,-0.446788,0.002125368,0.368869066
1691,0.2582,0.74525,0.87725,0.34775,0.88875,0.68525,0.365248434,0.456266667,0.6118,0.7398,0.71525,0.58725,0.0758,0.47425,0.021111111,0.5462,0.32175,0.86575,0.20075025,0.58275,0.13476,0.98075,0.8763,0.460322581,0.753249935,0.6578,0.391743487,0.689759519,0.720741483,0.339759519,0.133246493,0.20325,0.90775,0.78575,0.26124,0.44876,0.48174,0.825248416,0.57825,0.39575,0.556249206,0.5557504,0.3872504,0.0717504,0.4592504,0.9852504,0.9362504,0.5342504,0.1067504,0.1577504,0.8972504,0.5797504,0.3987504,0.5707,-0.433703,0.003355802,0.368399769
1692,0.6597,0.80825,0.92275,0.89725,0.80575,0.84325,0.934751566,0.058266667,0.8922,0.7688,0.62425,0.88125,0.9883,0.21475,0.961111111,0.9628,0.79525,0.63875,0.291250417,0.25275,0.86476,0.55275,0.6672,0.61483871,0.718250035,0.3293,0.990741483,0.151743487,0.778757515,0.142745491,0.103747495,0.64925,0.99425,0.63225,0.49624,0.51124,0.83126,0.515748583,0.74625,0.74575,0.726250794,0.2602504,0.6862504,0.4807504,0.2097504,0.9152504,0.8987504,0.8407504,0.1532504,0.6442504,0.7327504,0.6732504,0.5172504,0.2993,-0.424711,0.005412254,0.369385355
1693,0.7567,0.48075,0.33625,0.99975,0.75525,0.76925,0.339248434,0.691733333,0.4372,0.5088,0.02675,0.42025,0.5677,0.35325,0.862777778,0.3483,0.69625,0.91275,0.881250417,0.32825,0.08824,0.35075,0.3207,0.146774194,0.887250055,0.0523,0.848256513,0.721242485,0.851242485,0.826252505,0.195250501,0.97575,0.77925,0.97075,0.46374,0.14926,0.58776,0.58774925,0.67725,0.96875,0.944749206,0.5102504,0.1417504,0.3002504,0.8232504,0.9407504,0.0002504,0.3882504,0.3337504,0.8497504,0.1402504,0.5347504,0.5502504,0.8497,-0.339,0.016532835,0.368855441
1694,0.3668,0.41525,0.16625,0.13075,0.53825,0.62975,0.329248434,0.819266667,0.5802,0.5107,0.15575,0.22325,0.2822,0.54475,0.156666667,0.9768,0.25075,0.79825,0.88225075,0.36375,0.33224,0.45125,0.4257,0.738387097,0.929750005,0.3677,0.267254509,0.198757515,0.534248497,0.275751503,0.678757515,0.80275,0.54875,0.79325,0.57626,0.24026,0.12126,0.496748916,0.65725,0.45575,0.686750794,0.6062504,0.9902504,0.3917504,0.1037504,0.2652504,0.5112504,0.9737504,0.4017504,0.7707504,0.2067504,0.8067504,0.9992504,0.9862,-0.149568,0.041042244,0.357087442
1695,0.5297,0.77025,0.48625,0.47425,0.03225,0.79775,0.610250522,0.862733333,0.6028,0.3108,0.43575,0.40375,0.7853,0.31075,0.78,0.7372,0.99675,0.78075,0.553251084,0.90275,0.89974,0.78825,0.1168,0.466774194,0.561249975,0.9172,0.373246493,0.199258517,0.875751503,0.763246493,0.791242485,0.72575,0.97775,0.33575,0.73376,0.64324,0.09874,0.674751584,0.92525,0.11575,0.409750794,0.9407504,0.3427504,0.5007504,0.8302504,0.8227504,0.8832504,0.8697504,0.3167504,0.6257504,0.4027504,0.6002504,0.4827504,0.9212,0.195272,0.178121514,0.515302746
1696,0.4837,0.84725,0.46225,0.54325,0.11975,0.38775,0.541749478,0.840266667,0.0728,0.4223,0.55725,0.55425,0.7203,0.75675,0.298333333,0.4218,0.05925,0.02175,0.575748583,0.74025,0.44026,0.94925,0.4308,0.84516129,0.509250015,0.9187,0.142745491,0.917254509,0.211743487,0.267254509,0.964248497,0.65675,0.22125,0.14775,0.47524,0.20476,0.05274,0.27774925,0.30325,0.59025,0.433250794,0.1587504,0.8662504,0.4292504,0.8947504,0.6267504,0.5397504,0.2892504,0.9767504,0.6947504,0.0607504,0.3257504,0.4627504,0.0752,0.30084,0.281480138,0.635368261
1697,0.5882,0.55275,0.21475,0.02775,0.95975,0.34375,0.302751566,0.211266667,0.8768,0.8432,0.40775,0.93725,0.6037,0.71175,0.541111111,0.1222,0.04275,0.71325,0.68624875,0.68325,0.41226,0.83575,0.9962,0.133225806,0.109250015,0.2542,0.861242485,0.560741483,0.559759519,0.407254509,0.524248497,0.64625,0.49525,0.01825,0.81174,0.22726,0.63824,0.01774925,0.70425,0.78225,0.033249206,0.1742504,0.0377504,0.7352504,0.6317504,0.0837504,0.8682504,0.6722504,0.0277504,0.4272504,0.1752504,0.5177504,0.4607504,0.7803,-0.455685,0.000646676,0.368521206
